fold,rmse_list_log,mae_list_log,smape_list_log,rmse_list_original,mae_list_original,smape_list_original
1,1.2343,1.1584,19.6192,507.7946,473.0444,101.3032
2,0.3764,0.3191,4.7732,322.5898,265.5692,31.3707
3,0.9862,0.8157,11.2819,1770.1867,1273.4559,72.4084
4,0.6778,0.5437,6.7651,3091.6051,1984.8772,50.7715
5,0.7461,0.634,7.2637,5954.5997,4368.8531,59.2035
